province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,mean_velocity,median_velocity,std_velocity
Bien Hoa,37,27,13,SSE,0.0,56,10,1005,2021-03-31,22.32967032967033,21.0,19.805192890897718
Bien Hoa,34,27,12,SSE,8.0,65,62,1010,2021-04-14,29.486486486486488,31.0,15.413957638779541
Bien Hoa,34,28,8,S,12.3,65,73,1008,2021-04-22,1.25,1.0,0.5
Bien Hoa,29,26,14,SW,20.0,83,77,1006,2020-08-03,19.96718651044965,20.0,11.491157496711356
Bien Hoa,33,27,10,S,11.3,75,56,1007,2020-09-11,19.55,8.0,19.782848912912186
Bien Hoa,30,24,5,SSE,6.5,80,62,1011,2020-12-01,47.707692307692305,49.0,5.962704600585722
Bien Hoa,33,23,6,S,0.0,70,12,1011,2020-12-06,44.54545454545455,47.0,10.985113894390322
Bien Hoa,31,24,10,SE,2.4,75,61,1008,2020-12-24,19.950819672131146,9.0,24.22955937014749
Hong Gai,19,16,11,ENE,0.0,51,86,1020,2021-01-04,17.157894736842106,15.0,15.22128673893248
Hong Gai,20,14,8,E,0.0,77,14,1015,2021-01-15,25.104347826086958,22.0,20.714167502377503
Hong Gai,22,18,7,E,0.0,79,9,1014,2021-01-23,8.272727272727273,1.0,8.77600033148255
Hong Gai,25,20,13,ESE,0.0,86,48,1002,2021-03-31,22.32967032967033,21.0,19.805192890897718
Hong Gai,26,21,9,ESE,0.3,84,59,1011,2021-04-14,29.486486486486488,31.0,15.413957638779541
Hong Gai,26,20,11,SE,2.1,89,75,1008,2021-04-22,1.25,1.0,0.5
Hong Gai,31,24,16,S,22.6,79,72,999,2020-08-03,19.96718651044965,20.0,11.491157496711356
Hong Gai,30,26,19,SSE,22.8,84,70,1005,2020-09-11,19.55,8.0,19.782848912912186
Hong Gai,21,18,16,ENE,0.0,61,62,1022,2020-12-01,47.707692307692305,49.0,5.962704600585722
Hong Gai,20,15,11,NE,0.0,64,12,1020,2020-12-06,44.54545454545455,47.0,10.985113894390322
Hong Gai,21,16,8,ESE,0.0,64,92,1017,2020-12-24,19.950819672131146,9.0,24.22955937014749
Thai Nguyen,21,13,5,S,0.0,55,29,1021,2021-01-04,17.157894736842106,15.0,15.22128673893248
Thai Nguyen,24,13,5,SSE,0.0,68,10,1015,2021-01-15,25.104347826086958,22.0,20.714167502377503
Thai Nguyen,26,17,6,ESE,0.0,64,28,1014,2021-01-23,8.272727272727273,1.0,8.77600033148255
Thai Nguyen,32,24,12,SE,0.0,74,45,1001,2021-03-31,22.32967032967033,21.0,19.805192890897718
Thai Nguyen,30,24,10,SE,4.0,86,88,1007,2021-04-22,1.25,1.0,0.5
Thai Nguyen,29,23,9,SE,3.2,81,83,1011,2021-04-14,29.486486486486488,31.0,15.413957638779541
Thai Nguyen,31,25,7,ENE,25.4,88,75,999,2020-08-03,19.96718651044965,20.0,11.491157496711356
Thai Nguyen,32,26,7,ESE,13.2,90,68,1005,2020-09-11,19.55,8.0,19.782848912912186
Thai Nguyen,22,16,5,NE,0.0,57,40,1022,2020-12-01,47.707692307692305,49.0,5.962704600585722
Thai Nguyen,22,13,4,SSE,0.0,63,5,1021,2020-12-06,44.54545454545455,47.0,10.985113894390322
Thai Nguyen,23,16,5,SSW,0.0,54,47,1017,2020-12-24,19.950819672131146,9.0,24.22955937014749
Buon Me Thuot,26,20,13,ENE,0.5,78,81,1012,2021-01-04,17.157894736842106,15.0,15.22128673893248
Buon Me Thuot,27,15,10,E,0.0,73,3,1012,2021-01-15,25.104347826086958,22.0,20.714167502377503
Buon Me Thuot,27,19,10,E,0.0,74,35,1012,2021-01-23,8.272727272727273,1.0,8.77600033148255
